MPC Date,tone_GT_entire,tone_GT,flair_fast_scores,flair_scores,blob_scores,bing_scores,gi_scores,mpqa_scores,nrc_scores,lm_scores,compound_scores,afinn_scores
20151119,-5.434782608695652,-5.434782608695652,-0.3125,-0.5416666666666666,0.03073491835349544,-0.20610687022900764,-0.2920353982300885,-0.10344827586206896,0.21678321678321677,-0.5094339622641509,0.1,18.0
20160128,5.9405940594059405,5.9405940594059405,-0.2037037037037037,-0.5740740740740741,0.03158915724563206,-0.3220338983050847,-0.3050847457627119,-0.13636363636363635,0.17491749174917492,-0.7319587628865979,0.01,6.0
20160317,2.127659574468085,2.127659574468085,-0.45098039215686275,-0.5882352941176471,0.027384472252893314,-0.21875,-0.33980582524271846,-0.060109289617486336,0.22491349480968859,-0.6181818181818182,0.07,54.0
20160519,-6.796116504854369,-6.796116504854369,-0.1619047619047619,-0.6190476190476191,0.024535959595959597,-0.23880597014925373,-0.18446601941747573,-0.16842105263157894,0.2862190812720848,-0.4666666666666667,0.05,33.0
20160721,-18.867924528301888,-18.867924528301888,-0.21818181818181817,-0.45454545454545453,0.014834631543815223,-0.17482517482517482,-0.20388349514563106,-0.042105263157894736,0.21428571428571427,-0.5327102803738317,0.06,34.0
20160922,-6.122448979591836,-6.122448979591836,-0.23809523809523808,-0.4666666666666667,0.011365593626231924,-0.07936507936507936,-0.37735849056603776,-0.03910614525139665,0.2901023890784983,-0.3592233009708738,0.1,91.0
20161124,18.26923076923077,20.192307692307693,-0.1111111111111111,-0.5370370370370371,0.04559844629501118,-0.14285714285714285,-0.14814814814814814,-0.01282051282051282,0.23766816143497757,-0.5217391304347826,0.07,49.0
20170124,-11.711711711711711,-9.90990990990991,-0.2,-0.55,0.012238162960184614,-0.1773049645390071,-0.1836734693877551,-0.05945945945945946,0.2827586206896552,-0.41284403669724773,0.11,71.0
20170330,2.8846153846153846,2.8846153846153846,-0.3153153153153153,-0.35135135135135137,0.025764548469772358,-0.046875,-0.2631578947368421,0.03067484662576687,0.21951219512195122,-0.4157303370786517,0.09,79.0
20170525,-19.19191919191919,-17.171717171717173,-0.2871287128712871,-0.44554455445544555,0.034566861471861485,-0.1016949152542373,-0.30120481927710846,0.02564102564102564,0.30833333333333335,-0.47368421052631576,0.11,30.0
20170720,-17.142857142857142,-17.142857142857142,-0.2037037037037037,-0.5370370370370371,0.02442338079734775,-0.07692307692307693,-0.21212121212121213,0.014925373134328358,0.2785714285714286,-0.33962264150943394,0.09,41.0
20170921,-2.912621359223301,-2.912621359223301,-0.19230769230769232,-0.4423076923076923,0.054459815546772074,-0.06306306306306306,-0.16883116883116883,0.08074534161490683,0.3472222222222222,-0.2839506172839506,0.14,77.0
20171123,5.3097345132743365,7.079646017699115,-0.3,-0.4666666666666667,0.037595530058453806,-0.136,-0.02127659574468085,-0.02247191011235955,0.24723247232472326,-0.475,0.04,38.0
20180118,13.91304347826087,13.91304347826087,-0.2396694214876033,-0.30578512396694213,0.04497793431539015,0.13178294573643412,0.018518518518518517,0.2,0.3776223776223776,-0.125,0.2,123.0
